Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.1.2-10.0.2.4-54120-80-6,10.0.1.2,54120,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4193483,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,119.9480241126529,0.9538610267407786,1397827.6666666665,2420550.8327114997,4192839.0,60.0,0,0,0,0,0,4192899.0,2096449.5,2964742.4629165516,4192839.0,60.0,1,0,0,0,32,96,0.23846525668519464,0.715395770055584,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54102-80-6,10.0.1.2,54102,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4195034,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,119.90367658521959,0.9535083625067163,1398344.6666666665,2421330.270125357,4194256.0,16.0,0,0,0,0,0,4194272.0,2097136.0,2965775.545923865,4194256.0,16.0,1,0,0,0,32,96,0.23837709062667908,0.7151312718800372,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54112-80-6,10.0.1.2,54112,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4195444,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,119.89195899170623,0.9534151808485586,1398481.3333333335,2421547.060220456,4194643.0,61.0,0,0,0,0,0,4194704.0,2097352.0,2966017.376443031,4194643.0,61.0,1,0,0,0,32,96,0.23835379521213965,0.7150613856364189,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54128-80-6,10.0.1.2,54128,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4221963,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,119.13889344837935,0.9474265880586827,1407321.0,2437231.913969001,4221594.0,68.0,0,0,0,0,0,4221662.0,2110831.0,2985069.6615553214,4221594.0,68.0,1,0,0,0,32,96,0.23685664701467068,0.710569941044012,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54134-80-6,10.0.1.2,54134,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4233847,1,3,10.0,492.0,10.0,10.0,10.0,0.0,492.0,0.0,164.0,284.05633244129587,118.56829025706409,0.9447672530443354,1411282.3333333335,2443684.39458788,4233006.0,134.0,0,0,0,0,0,4233140.0,2116570.0,2993092.495094664,4233006.0,134.0,1,0,0,0,32,96,0.23619181326108385,0.7085754397832515,0.0,492.0,102.4,217.8504073900253,47458.799999999996,1,0,0,2,4,0,0,0,3.0,128.0,10.0,164.0,0,0,0,0,0,0,1,10,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54130-80-6,10.0.1.2,54130,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4235817,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,118.74922830707747,0.944327859300815,1411939.0,2444959.462125497,4235135.0,166.0,0,0,0,0,0,4235301.0,2117650.5,2994575.298014812,4235135.0,166.0,1,0,0,0,32,96,0.23608196482520374,0.7082458944756113,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54142-80-6,10.0.1.2,54142,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4273977,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,117.68898148024661,0.9358964730039492,1424659.0,2466850.8784494856,4273133.0,22.0,0,0,0,0,0,4273155.0,2136577.5,3021545.7648628294,4273133.0,22.0,1,0,0,0,32,96,0.2339741182509873,0.7019223547529618,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54168-80-6,10.0.1.2,54168,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4273783,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,117.69432374081698,0.9359389561893995,1424594.3333333335,2466780.428266029,4272987.0,92.0,0,0,0,0,0,4273079.0,2136539.5,3021393.029798093,4272987.0,92.0,1,0,0,0,32,96,0.23398473904734987,0.7019542171420495,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-54152-80-6,10.0.1.2,54152,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4264839,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,117.94114619567115,0.9379017590113015,1421613.0,2461950.8757178728,4264429.0,121.0,0,0,0,0,0,4264550.0,2132275.0,3015321.103868044,4264429.0,121.0,1,0,0,0,32,96,0.23447543975282537,0.7034263192584761,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.1.2-10.0.2.4-55816-80-6,10.0.1.2,55816,10.0.2.4,80,6,16/07/2026 12:21:27 PM,4316036,1,3,11.0,492.0,11.0,11.0,11.0,0.0,492.0,0.0,164.0,284.05633244129587,116.54212337431846,0.9267763290204252,1438678.6666666665,2491215.0500381,4315286.0,39.0,0,0,0,0,0,4315325.0,2157662.5,3051340.4161949055,4315286.0,39.0,1,0,0,0,32,96,0.2316940822551063,0.6950822467653188,0.0,492.0,102.8,217.63892115152564,47366.7,1,0,0,2,4,0,0,0,3.0,128.5,11.0,164.0,0,0,0,0,0,0,1,11,3,492,126,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
