Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.4-10.0.1.2-80-53104-6,10.0.2.4,80,10.0.1.2,53104,6,16/07/2026 10:03:42 AM,2487792,3,3,492.0,11.0,492.0,0.0,164.0,284.05633244129587,11.0,0.0,3.6666666666666665,6.350852961085883,202.18732112652506,2.4117771903760445,497558.4,1067063.764966649,2406035.0,62.0,2487792.0,1243896.0,1759046.9121407764,2487730.0,62.0,2447370.0,1223685.0,1672095.405471829,2406035.0,41335.0,1,0,0,0,84,96,1.2058885951880223,1.2058885951880223,0.0,492.0,142.14285714285714,239.03167751815417,57136.14285714285,1,0,1,2,5,0,0,0,1.0,165.83333333333334,164.0,3.6666666666666665,0,0,0,0,0,0,3,492,3,11,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53108-6,10.0.2.4,80,10.0.1.2,53108,6,16/07/2026 10:03:42 AM,2488101,3,3,492.0,10.0,492.0,0.0,164.0,284.05633244129587,10.0,0.0,3.3333333333333335,5.773502691896258,201.7602983158642,2.4114776691139146,497620.2,1067060.5692802542,2406091.0,158.0,2488101.0,1244050.5,1759129.6436341752,2487943.0,158.0,2447538.0,1223769.0,1672055.8074920825,2406091.0,41447.0,1,0,0,0,84,96,1.2057388345569573,1.2057388345569573,0.0,492.0,142.00000000000003,239.12339910598462,57180.0,1,0,1,2,5,0,0,0,1.0,165.66666666666666,164.0,3.3333333333333335,0,0,0,0,0,0,3,492,3,10,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53114-6,10.0.2.4,80,10.0.1.2,53114,6,16/07/2026 10:03:42 AM,2487675,3,3,492.0,10.0,492.0,0.0,164.0,284.05633244129587,10.0,0.0,3.3333333333333335,5.773502691896258,201.79484860361583,2.4118906207603485,497535.0,1067182.6846693119,2406226.0,41.0,2487675.0,1243837.5,1758993.8791321872,2487634.0,41.0,2447286.0,1223643.0,1672424.917231862,2406226.0,41060.0,1,0,0,0,84,96,1.2059453103801743,1.2059453103801743,0.0,492.0,142.00000000000003,239.12339910598462,57180.0,1,0,1,2,5,0,0,0,1.0,165.66666666666666,164.0,3.3333333333333335,0,0,0,0,0,0,3,492,3,10,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53126-6,10.0.2.4,80,10.0.1.2,53126,6,16/07/2026 10:03:42 AM,2477834,3,3,492.0,11.0,492.0,0.0,164.0,284.05633244129587,11.0,0.0,3.6666666666666665,6.350852961085883,202.99987811935748,2.4214697191175842,495566.8,1061561.6359193185,2394182.0,60.0,2477834.0,1238917.0,1752008.3712408454,2477774.0,60.0,2437375.0,1218687.5,1662400.2643949802,2394182.0,43193.0,1,0,0,0,84,96,1.2107348595587921,1.2107348595587921,0.0,492.0,142.14285714285714,239.03167751815417,57136.14285714285,1,0,1,2,5,0,0,0,1.0,165.83333333333334,164.0,3.6666666666666665,0,0,0,0,0,0,3,492,3,11,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53134-6,10.0.2.4,80,10.0.1.2,53134,6,16/07/2026 10:03:42 AM,2488364,3,3,492.0,11.0,492.0,0.0,164.0,284.05633244129587,11.0,0.0,3.6666666666666665,6.350852961085883,202.14084434592368,2.4112227953788112,497672.8,1067037.5685753524,2406102.0,146.0,2488364.0,1244182.0,1759332.5832803757,2488218.0,146.0,2447684.0,1223842.0,1671968.1262512153,2406102.0,41582.0,1,0,0,0,84,96,1.2056113976894056,1.2056113976894056,0.0,492.0,142.14285714285714,239.03167751815417,57136.14285714285,1,0,1,2,5,0,0,0,1.0,165.83333333333334,164.0,3.6666666666666665,0,0,0,0,0,0,3,492,3,11,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53142-6,10.0.2.4,80,10.0.1.2,53142,6,16/07/2026 10:03:42 AM,2478142,3,3,492.0,10.0,492.0,0.0,164.0,284.05633244129587,10.0,0.0,3.3333333333333335,5.773502691896258,202.57111981476444,2.421168762726268,495628.4,1061519.1973336139,2394167.0,71.0,2478142.0,1239071.0,1752210.6037802647,2478071.0,71.0,2437529.0,1218764.5,1662270.1567472417,2394167.0,43362.0,1,0,0,0,84,96,1.210584381363134,1.210584381363134,0.0,492.0,142.00000000000003,239.12339910598462,57180.0,1,0,1,2,5,0,0,0,1.0,165.66666666666666,164.0,3.3333333333333335,0,0,0,0,0,0,3,492,3,10,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53146-6,10.0.2.4,80,10.0.1.2,53146,6,16/07/2026 10:03:42 AM,2488189,3,3,492.0,11.0,492.0,0.0,164.0,284.05633244129587,11.0,0.0,3.6666666666666665,6.350852961085883,202.1550613719456,2.4113923821703254,497637.8,1067106.7543356193,2406191.0,36.0,2488189.0,1244094.5,1759364.403085529,2488153.0,36.0,2447644.0,1223822.0,1672122.275529514,2406191.0,41453.0,1,0,0,0,84,96,1.2056961910851627,1.2056961910851627,0.0,492.0,142.14285714285714,239.03167751815417,57136.14285714285,1,0,1,2,5,0,0,0,1.0,165.83333333333334,164.0,3.6666666666666665,0,0,0,0,0,0,3,492,3,11,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53156-6,10.0.2.4,80,10.0.1.2,53156,6,16/07/2026 10:03:42 AM,2488109,3,3,492.0,11.0,492.0,0.0,164.0,284.05633244129587,11.0,0.0,3.6666666666666665,6.350852961085883,202.16156124992915,2.411469915506113,497621.8,1067152.7116761217,2406257.0,53.0,2488109.0,1244054.5,1759283.792912474,2488056.0,53.0,2447671.0,1223835.5,1672196.5217415385,2406257.0,41414.0,1,0,0,0,84,96,1.2057349577530565,1.2057349577530565,0.0,492.0,142.14285714285714,239.03167751815417,57136.14285714285,1,0,1,2,5,0,0,0,1.0,165.83333333333334,164.0,3.6666666666666665,0,0,0,0,0,0,3,492,3,11,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53174-6,10.0.2.4,80,10.0.1.2,53174,6,16/07/2026 10:03:42 AM,2487836,3,3,492.0,10.0,492.0,0.0,164.0,284.05633244129587,10.0,0.0,3.3333333333333335,5.773502691896258,201.7817894748689,2.411734535556202,497567.2,1067356.6480294673,2406570.0,20.0,2487836.0,1243918.0,1758929.5324150994,2487669.0,167.0,2447530.0,1223765.0,1672738.8726427087,2406570.0,40960.0,1,0,0,0,84,96,1.205867267778101,1.205867267778101,0.0,492.0,142.00000000000003,239.12339910598462,57180.0,1,0,1,2,5,0,0,0,1.0,165.66666666666666,164.0,3.3333333333333335,0,0,0,0,0,0,3,492,3,10,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.4-10.0.1.2-80-53186-6,10.0.2.4,80,10.0.1.2,53186,6,16/07/2026 10:03:42 AM,2477275,3,3,492.0,10.0,492.0,0.0,164.0,284.05633244129587,10.0,0.0,3.3333333333333335,5.773502691896258,202.642015924756,2.4220161265907096,495455.0,1057237.0968276227,2386416.0,199.0,2477275.0,1238637.5,1738291.2067926077,2467795.0,9480.0,2436947.0,1218473.5,1651720.1235719386,2386416.0,50531.0,1,0,0,0,84,96,1.2110080632953548,1.2110080632953548,0.0,492.0,142.00000000000003,239.12339910598462,57180.0,1,0,1,2,5,0,0,0,1.0,165.66666666666666,164.0,3.3333333333333335,0,0,0,0,0,0,3,492,3,10,64,126,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
