seed,task,model,accuracy,precision,recall,f1,roc_auc,train_time,inference_time
42,binary,RandomForest,0.9999511510896796,0.9999511548115823,0.9999511510896796,0.999951150358001,0.9999900744854926,877.98,0.10214481199909642
42,binary,XGBoost,0.9999651079211997,0.9999651084256628,0.9999651079211997,0.9999651076972425,0.999997234464565,60.66,0.09452297000098042
42,binary,DecisionTree,0.9998394964375188,0.9998394958565586,0.9998394964375188,0.9998394960941375,0.9998234735683886,160.69,0.012479335000534775
43,binary,RandomForest,0.99999302158424,0.9999930216602021,0.99999302158424,0.9999930215693104,0.9999999856082951,801.05,0.1694866119996732
43,binary,XGBoost,0.99999302158424,0.9999930216602021,0.99999302158424,0.9999930215693104,0.9999999966137164,66.03,0.06772328000079142
43,binary,DecisionTree,0.9999441726739196,0.9999441735748763,0.9999441726739196,0.9999441729127727,0.9999436222945203,93.64,0.011755621000702376
44,binary,RandomForest,0.9999511510896796,0.9999511548115823,0.9999511510896796,0.999951150358001,0.99999993544897,864.7,0.16910817400093947
44,binary,XGBoost,0.9999790647527198,0.9999790647689616,0.9999790647527198,0.9999790647079309,0.9999999881480075,52.64,0.06874209499983408
44,binary,DecisionTree,0.999874388516319,0.9998743900143741,0.999874388516319,0.9998743890537385,0.99992837862172,133.92,0.01037430399992445
45,binary,RandomForest,0.9999860431684799,0.9999860434723252,0.9999860431684799,0.9999860431087596,0.9999900961788717,1398.4,0.23136183700080437
45,binary,XGBoost,0.9999860431684799,0.9999860434723252,0.9999860431684799,0.9999860431087596,0.9999989989299297,50.94,0.06525788700128032
45,binary,DecisionTree,0.9998115827744786,0.9998115985971451,0.9998115827744786,0.9998115864013237,0.9998394172494885,158.26,0.01121970099848113
46,binary,RandomForest,0.9999581295054397,0.9999581322399288,0.9999581295054397,0.9999581289678955,0.9999900077122142,969.01,0.09876248100044904
46,binary,XGBoost,0.9999581295054397,0.9999581322399288,0.9999581295054397,0.9999581289678955,0.9999945690361368,56.72,0.05314886099949945
46,binary,DecisionTree,0.9998883453478391,0.999888344815553,0.9998883453478391,0.9998883448700774,0.9999047283942211,130.62,0.009624436999729369
42,multiclass,RandomForest,0.9999511510896796,0.9999514143658793,0.9999511510896796,0.9999512272308629,0.9999900901640878,934.94,0.14725409600032435
42,multiclass,XGBoost,0.9999860431684799,0.9999860432444421,0.9999860431684799,0.9999860424187531,0.9999967371815702,241.15,0.20950727899980848
42,multiclass,DecisionTree,0.9998255396059986,0.9998258145646686,0.9998255396059986,0.9998256563375015,0.9998759358547501,192.52,0.010090719000800163
43,multiclass,RandomForest,0.9999092805951193,0.9999092079627213,0.9999092805951193,0.9999091831846969,0.9999763858084368,911.35,0.9017257359992072
43,multiclass,XGBoost,0.9999232374266394,0.9999231816280338,0.9999232374266394,0.9999231174861566,0.9999967166104627,248.82,0.19423293699946953
43,multiclass,DecisionTree,0.9997836691114383,0.9997834553725948,0.9997836691114383,0.9997835197443039,0.9998331157671234,90.3,0.009913968000546447
44,multiclass,RandomForest,0.9999581295054397,0.9999581090855605,0.9999581295054397,0.9999581141129018,0.9999999308849169,954.67,0.9607808029995795
44,multiclass,XGBoost,0.9999720863369598,0.9999720897136435,0.9999720863369598,0.9999720568988794,0.9999999907648933,205.12,0.23293596999974397
44,multiclass,DecisionTree,0.9997348202011179,0.9997356651566429,0.9997348202011179,0.9997349802044915,0.9998706653893603,147.13,0.012527331000455888
45,multiclass,RandomForest,0.9999511510896796,0.9999512723924948,0.9999511510896796,0.9999511637073784,0.9999964934514967,1503.3,0.42530270499992184
45,multiclass,XGBoost,0.9999860431684799,0.9999860566387142,0.9999860431684799,0.999986044152917,0.9999999963429355,198.69,0.21139605200005462
45,multiclass,DecisionTree,0.999741798616878,0.9997417005846156,0.999741798616878,0.9997416654826771,0.9999208580705962,167.75,0.010642503999406472
46,multiclass,RandomForest,0.9999441726739196,0.9999441200018939,0.9999441726739196,0.9999441261666175,0.9999999196909272,1085.68,0.1581391950003308
46,multiclass,XGBoost,0.9999581295054397,0.9999581032973086,0.9999581295054397,0.9999581064116864,0.9999999862852553,221.83,0.19461274800050887
46,multiclass,DecisionTree,0.9997627338641581,0.9997623992739837,0.9997627338641581,0.999762373543369,0.9998846564022853,163.22,0.014204963999873144
